 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
1,0.660,1.443,0.209,1.183,1.181,1.908,24.039,0.624,24.041,0.623,3.038,1
2,0.440,1.299,0.099,1.239,1.171,1.507,48.725,0.518,48.723,0.520,2.438,1
3,0.430,1.231,0.048,1.169,1.169,1.326,21.013,0.717,21.015,0.719,2.356,1
4,0.360,1.325,0.123,1.179,1.173,1.581,7.158,0.847,7.158,0.845,2.097,1
5,0.900,1.602,0.342,1.198,1.173,2.367,47.376,1.000,47.383,0.998,3.380,1
6,0.670,1.299,0.091,1.263,1.169,1.467,1.026,1.208,1.025,1.204,3.287,1
7,0.840,1.474,0.242,1.344,1.175,2.000,8.314,1.114,8.311,1.112,3.321,1
8,0.480,1.226,0.033,1.203,1.170,1.280,13.817,1.185,13.817,1.185,2.638,1
9,0.480,1.254,0.053,1.213,1.173,1.356,18.833,1.113,18.833,1.113,2.414,1
10,0.730,1.294,0.084,1.265,1.169,1.487,29.343,1.479,29.344,1.482,3.121,1
11,0.830,1.428,0.202,1.173,1.169,1.874,34.480,1.621,34.479,1.623,3.404,1
12,0.380,1.377,0.150,1.199,1.178,1.698,3.842,1.424,3.843,1.424,2.214,1
13,0.150,1.214,0.034,1.171,1.171,1.269,9.757,1.290,9.757,1.290,1.331,1
14,1.000,1.321,0.104,1.231,1.170,1.529,11.689,1.682,11.690,1.679,3.804,1
15,0.730,1.264,0.061,1.190,1.169,1.395,32.627,1.799,32.626,1.794,3.321,1
16,0.970,1.343,0.145,1.171,1.170,1.748,39.399,1.619,39.390,1.618,4.511,1
17,0.780,1.393,0.220,1.179,1.171,1.982,5.785,1.709,5.757,1.707,4.087,1
18,0.750,1.542,0.301,1.228,1.193,2.246,44.886,1.762,44.880,1.769,3.038,1
19,0.640,1.304,0.097,1.267,1.170,1.521,23.966,2.092,23.964,2.098,3.346,1
20,0.740,1.472,0.232,1.246,1.171,1.963,22.273,1.970,22.276,1.974,3.038,1
21,0.930,1.390,0.162,1.532,1.170,1.765,27.413,2.030,27.408,2.031,3.521,1
22,0.450,1.238,0.047,1.235,1.170,1.324,37.830,2.263,37.830,2.262,2.438,1
23,0.660,1.225,0.040,1.170,1.169,1.314,25.926,2.391,25.924,2.391,3.604,1
24,0.410,1.267,0.079,1.170,1.170,1.441,43.096,2.313,43.094,2.316,2.297,1
25,0.180,1.189,0.011,1.169,1.169,1.205,4.628,2.333,4.628,2.333,1.614,1
26,0.670,1.234,0.046,1.197,1.169,1.364,15.475,2.625,15.478,2.627,4.028,1
27,0.350,1.238,0.041,1.200,1.177,1.312,10.019,2.513,10.020,2.512,2.331,1
28,0.470,1.280,0.098,1.182,1.174,1.516,48.699,2.639,48.709,2.641,2.897,1
29,0.280,1.263,0.064,1.232,1.176,1.390,20.321,2.739,20.320,2.739,1.873,1
30,0.520,1.293,0.096,1.185,1.169,1.501,35.931,2.944,35.928,2.948,2.638,1
31,0.480,1.286,0.084,1.200,1.172,1.466,2.656,2.988,2.655,2.989,2.438,1
32,0.550,1.271,0.066,1.356,1.169,1.386,7.906,2.930,7.906,2.929,2.756,1
33,0.730,1.430,0.228,1.200,1.169,2.000,41.232,3.064,41.224,3.063,3.063,1
34,0.290,1.221,0.033,1.225,1.169,1.283,13.343,3.133,13.344,3.133,1.897,1
35,0.490,1.243,0.050,1.235,1.169,1.340,18.577,3.179,18.575,3.181,2.497,1
36,0.570,1.231,0.037,1.170,1.170,1.293,0.818,3.399,0.820,3.400,2.838,1
37,0.880,1.328,0.106,1.375,1.176,1.530,16.689,3.534,16.691,3.530,3.687,1
38,0.400,1.220,0.037,1.174,1.169,1.289,23.790,3.288,23.791,3.289,2.238,1
39,0.250,1.183,0.012,1.204,1.169,1.204,28.974,3.222,28.974,3.222,1.956,1
40,0.610,1.261,0.069,1.184,1.170,1.413,21.732,3.647,21.732,3.642,2.980,1
41,0.720,1.339,0.128,1.182,1.179,1.618,39.451,3.588,39.458,3.587,3.121,1
42,0.430,1.256,0.065,1.192,1.171,1.399,34.252,3.583,34.251,3.585,2.438,1
43,0.530,1.304,0.112,1.170,1.169,1.549,44.578,3.597,44.575,3.600,2.638,1
44,0.450,1.217,0.031,1.211,1.170,1.277,37.526,3.914,37.526,3.914,2.638,1
45,0.680,1.388,0.178,1.170,1.169,1.780,49.915,3.834,49.914,3.839,3.063,1
46,0.450,1.209,0.028,1.171,1.171,1.259,32.457,3.994,32.457,3.996,2.497,1
47,0.820,1.418,0.212,1.195,1.171,1.915,27.067,4.112,27.075,4.113,3.321,1
48,0.590,1.282,0.073,1.170,1.170,1.418,4.201,4.184,4.202,4.187,2.838,1
49,0.590,1.353,0.165,1.170,1.169,1.729,47.277,4.140,47.270,4.135,3.063,1
50,0.380,1.209,0.024,1.191,1.170,1.245,9.279,4.261,9.279,4.261,2.356,1
51,0.360,1.247,0.056,1.221,1.170,1.360,14.881,4.403,14.883,4.403,2.156,1
52,0.630,1.340,0.151,1.170,1.169,1.687,19.852,4.553,19.849,4.557,2.897,1
53,0.610,1.240,0.045,1.176,1.172,1.312,30.314,4.635,30.315,4.635,2.780,1
54,0.370,1.274,0.067,1.208,1.172,1.417,42.745,4.407,42.741,4.408,2.073,1
55,0.320,1.235,0.046,1.211,1.169,1.335,25.134,4.625,25.133,4.628,2.097,1
56,0.770,1.334,0.160,1.180,1.172,1.734,17.350,4.724,17.329,4.718,3.804,1
57,0.830,1.367,0.169,1.187,1.171,1.797,7.487,5.013,7.489,5.020,3.404,1
58,0.570,1.267,0.062,1.187,1.175,1.399,12.743,4.955,12.744,4.953,2.780,1
59,0.570,1.376,0.159,1.410,1.170,1.720,2.354,4.929,2.348,4.932,2.721,1
60,0.250,1.249,0.056,1.173,1.173,1.353,29.418,4.774,29.418,4.773,1.756,1
61,0.860,1.281,0.099,1.213,1.169,1.547,35.731,5.010,35.723,5.007,3.887,1
62,0.190,1.204,0.024,1.170,1.170,1.249,40.850,4.787,40.850,4.786,1.649,1
63,0.330,1.221,0.032,1.177,1.169,1.274,46.214,4.983,46.214,4.983,2.073,1
64,0.710,1.347,0.125,1.246,1.174,1.608,23.330,5.349,23.329,5.352,3.014,1
65,0.280,1.208,0.027,1.208,1.169,1.259,28.521,5.139,28.521,5.139,1.873,1
66,1.210,1.393,0.171,1.203,1.171,1.768,39.383,5.748,39.387,5.742,4.863,1
67,1.450,1.411,0.277,1.201,1.169,2.278,42.336,6.212,42.346,6.266,6.053,1
68,0.870,1.340,0.159,1.199,1.170,1.736,5.042,5.491,5.030,5.491,3.828,1
69,0.490,1.356,0.150,1.184,1.170,1.670,34.505,5.336,34.506,5.334,2.473,1
70,1.100,1.364,0.141,1.173,1.170,1.772,44.614,5.719,44.623,5.719,4.238,1
71,1.050,1.538,0.297,1.177,1.171,2.169,26.620,6.027,26.623,6.030,3.746,1
72,0.620,1.258,0.062,1.177,1.172,1.417,32.219,6.037,32.226,6.042,3.238,1
73,0.250,1.197,0.016,1.175,1.175,1.222,21.326,5.782,21.326,5.782,1.756,1
74,0.360,1.223,0.028,1.189,1.177,1.270,16.200,5.858,16.200,5.859,2.190,1
75,0.190,1.199,0.020,1.196,1.170,1.232,37.018,6.034,37.018,6.035,1.590,1
76,0.870,1.392,0.176,1.220,1.172,1.831,14.204,6.360,14.198,6.366,3.321,1
77,0.320,1.236,0.048,1.174,1.174,1.333,3.684,6.247,3.684,6.249,2.014,1
78,0.310,1.242,0.052,1.263,1.170,1.340,8.927,6.269,8.927,6.271,2.014,1
79,0.680,1.321,0.128,1.174,1.173,1.627,19.369,6.396,19.362,6.400,3.180,1
80,0.870,1.336,0.137,1.182,1.169,1.662,47.590,6.463,47.586,6.470,3.463,1
81,0.490,1.270,0.078,1.205,1.169,1.452,29.879,6.503,29.876,6.498,2.556,1
82,1.380,1.459,0.257,1.171,1.169,2.113,1.573,6.853,1.592,6.846,5.077,1
83,0.250,1.242,0.050,1.189,1.170,1.333,49.874,6.446,49.875,6.445,1.731,1
84,0.280,1.210,0.030,1.172,1.172,1.271,24.861,6.532,24.862,6.532,1.873,1
85,0.290,1.231,0.040,1.213,1.171,1.318,23.350,6.791,23.351,6.791,2.014,1
86,0.430,1.234,0.038,1.178,1.173,1.305,45.738,6.815,45.738,6.816,2.356,1
87,0.240,1.206,0.026,1.169,1.169,1.255,17.583,6.892,17.582,6.892,1.756,1
88,0.360,1.286,0.082,1.226,1.171,1.462,40.369,6.894,40.368,6.897,2.097,1
89,0.580,1.307,0.106,1.170,1.169,1.535,28.105,7.295,28.101,7.299,2.780,1
90,0.610,1.281,0.074,1.188,1.171,1.421,10.645,7.483,10.647,7.484,3.121,1
91,0.480,1.224,0.037,1.223,1.169,1.289,33.344,7.285,33.343,7.284,2.497,1
92,0.260,1.217,0.030,1.203,1.172,1.272,5.327,7.327,5.327,7.327,1.873,1
93,0.950,1.619,0.453,1.174,1.171,2.842,34.917,7.601,34.922,7.587,3.663,1
94,0.180,1.186,0.013,1.169,1.169,1.208,38.656,7.283,38.656,7.283,1.614,1
95,0.920,1.544,0.323,1.174,1.171,2.302,20.751,7.714,20.742,7.714,3.463,1
96,0.680,1.284,0.088,1.175,1.170,1.511,26.343,7.806,26.340,7.813,3.180,1
97,0.250,1.179,0.007,1.170,1.170,1.193,15.774,7.570,15.774,7.570,1.838,1
98,0.280,1.213,0.034,1.182,1.171,1.284,43.800,7.629,43.799,7.630,1.814,1
99,0.480,1.214,0.033,1.195,1.171,1.289,31.221,7.942,31.220,7.945,2.863,1
100,0.810,1.267,0.069,1.275,1.171,1.428,8.755,8.212,8.761,8.216,3.546,1
101,0.880,1.368,0.140,1.349,1.173,1.682,36.800,8.113,36.809,8.117,3.546,1
102,0.440,1.272,0.090,1.197,1.170,1.486,3.302,8.145,3.299,8.152,2.497,1
103,1.230,1.448,0.252,1.263,1.171,2.168,39.945,8.565,39.942,8.573,4.770,1
104,0.710,1.282,0.077,1.172,1.171,1.466,13.788,8.315,13.790,8.322,3.014,1
105,0.830,1.361,0.148,1.187,1.181,1.743,18.640,8.279,18.637,8.277,3.438,1
106,0.920,1.373,0.201,1.173,1.169,1.890,29.457,8.467,29.432,8.445,4.511,1
107,0.190,1.191,0.016,1.169,1.169,1.219,42.076,8.145,42.077,8.145,1.590,1
108,0.650,1.354,0.148,1.170,1.169,1.685,47.179,8.402,47.181,8.406,2.897,1
109,1.250,1.953,0.729,1.182,1.177,3.865,6.708,8.864,6.710,8.872,4.004,1
110,1.140,1.724,0.494,1.298,1.170,3.052,22.332,8.912,22.328,8.901,3.946,1
111,0.460,1.299,0.098,1.194,1.172,1.518,24.317,8.643,24.315,8.645,2.380,1
112,0.430,1.231,0.034,1.182,1.170,1.292,1.338,8.762,1.338,8.761,2.273,1
113,0.390,1.243,0.055,1.201,1.169,1.348,12.001,8.724,11.999,8.723,2.356,1
114,0.390,1.216,0.030,1.172,1.169,1.261,27.601,9.060,27.601,9.060,2.214,1
115,0.630,1.189,0.016,1.178,1.167,1.236,15.244,9.413,15.243,9.411,3.487,1
116,0.210,1.196,0.014,1.189,1.174,1.219,50.712,9.007,50.712,9.007,1.590,1
117,0.360,1.227,0.040,1.201,1.169,1.301,10.247,9.358,10.249,9.359,2.156,1
118,0.230,1.207,0.025,1.174,1.170,1.254,38.272,9.328,38.272,9.328,1.731,1
119,0.200,1.195,0.019,1.170,1.170,1.226,43.550,9.425,43.550,9.425,1.673,1
120,0.320,1.261,0.060,1.221,1.172,1.380,32.847,9.516,32.848,9.516,1.956,1
121,0.260,1.190,0.012,1.195,1.170,1.208,31.035,9.815,31.035,9.816,1.990,1
122,0.280,1.205,0.024,1.173,1.173,1.249,25.943,9.811,25.943,9.810,1.956,1
123,0.540,1.325,0.124,1.372,1.169,1.590,41.646,10.154,41.650,10.156,2.638,1
124,0.370,1.298,0.088,1.288,1.173,1.471,8.047,10.166,8.045,10.169,2.156,1
125,0.680,1.403,0.192,1.189,1.169,1.825,12.349,10.335,12.348,10.332,2.921,1
126,1.030,1.482,0.248,1.216,1.179,2.070,18.665,10.479,18.662,10.489,3.721,1
127,0.760,1.296,0.077,1.194,1.172,1.424,23.937,10.388,23.937,10.390,3.180,1
128,0.810,1.543,0.318,1.184,1.178,2.282,39.545,10.378,39.544,10.366,3.346,1
129,1.150,1.390,0.178,1.177,1.176,1.857,34.869,10.512,34.879,10.504,4.180,1
130,0.390,1.258,0.065,1.308,1.171,1.388,29.058,10.676,29.056,10.677,2.214,1
131,0.650,1.348,0.143,1.231,1.169,1.668,44.899,10.821,44.895,10.826,2.921,1
132,0.530,1.212,0.031,1.186,1.169,1.283,50.022,10.714,50.021,10.714,3.263,1
133,0.520,1.273,0.088,1.207,1.169,1.466,11.463,10.925,11.461,10.930,2.697,1
134,0.160,1.253,0.060,1.180,1.180,1.365,36.081,10.863,36.080,10.862,1.414,1
135,1.260,1.608,0.338,1.310,1.171,2.341,48.464,11.357,48.468,11.333,4.204,1
136,0.950,1.327,0.111,1.179,1.169,1.561,2.321,11.559,2.320,11.553,3.980,1
137,0.300,1.283,0.087,1.177,1.177,1.457,8.187,11.267,8.188,11.265,1.956,1
138,0.180,1.210,0.025,1.172,1.172,1.249,21.822,11.150,21.822,11.150,1.531,1
139,0.860,1.432,0.206,1.179,1.169,1.871,25.293,11.495,25.292,11.497,3.463,1
140,0.930,1.598,0.347,1.173,1.171,2.409,43.166,11.366,43.169,11.363,3.604,1
141,1.070,1.303,0.100,1.170,1.169,1.577,9.865,11.444,9.854,11.441,4.604,1
142,0.330,1.212,0.025,1.173,1.173,1.258,37.808,11.259,37.808,11.258,2.214,1
143,0.230,1.210,0.028,1.208,1.172,1.263,20.333,11.420,20.333,11.418,1.814,1
144,0.180,1.202,0.023,1.169,1.169,1.240,14.772,11.589,14.772,11.589,1.507,1
145,0.540,1.263,0.061,1.217,1.170,1.379,30.656,11.756,30.655,11.755,2.614,1
146,0.900,1.344,0.146,1.187,1.171,1.710,41.197,11.960,41.185,11.968,3.721,1
147,0.730,1.484,0.247,1.728,1.176,2.051,35.923,12.031,35.927,12.032,3.038,1
148,0.770,1.230,0.050,1.209,1.170,1.390,39.050,12.302,39.044,12.295,4.087,1
149,0.490,1.347,0.122,1.216,1.170,1.584,46.236,12.264,46.232,12.267,2.497,1
150,0.310,1.235,0.037,1.237,1.179,1.303,33.937,12.315,33.937,12.314,1.990,1
151,0.150,1.226,0.040,1.170,1.170,1.292,12.890,12.290,12.890,12.290,1.307,1
152,0.930,1.370,0.145,1.175,1.174,1.705,5.873,12.776,5.869,12.780,3.521,1
153,0.270,1.188,0.014,1.178,1.170,1.221,28.754,12.480,28.755,12.480,2.073,1
154,0.630,1.271,0.056,1.182,1.172,1.375,49.702,12.771,49.702,12.770,3.014,1
155,0.400,1.198,0.013,1.179,1.172,1.223,11.115,12.763,11.115,12.762,2.414,1
156,0.880,1.546,0.314,1.344,1.170,2.294,21.848,13.007,21.849,13.011,3.380,1
157,0.910,1.307,0.125,1.187,1.171,1.719,32.455,13.021,32.471,13.012,4.146,1
158,0.300,1.244,0.052,1.202,1.176,1.353,44.477,12.933,44.474,12.933,1.931,1
159,0.870,1.335,0.119,1.172,1.171,1.577,26.748,13.435,26.746,13.442,3.697,1
160,0.680,1.242,0.048,1.175,1.169,1.341,9.225,13.428,9.227,13.428,3.097,1
161,0.950,1.513,0.253,1.634,1.173,2.008,19.646,13.510,19.643,13.508,3.521,1
162,0.400,1.228,0.046,1.170,1.170,1.325,37.223,13.285,37.220,13.287,2.331,1
163,1.100,1.459,0.254,1.239,1.169,2.084,3.790,13.671,3.782,13.684,4.028,1
164,0.470,1.269,0.075,1.172,1.172,1.439,47.916,13.484,47.915,13.486,2.521,1
165,0.300,1.232,0.045,1.284,1.170,1.321,42.630,13.517,42.630,13.518,1.931,1
166,0.190,1.188,0.013,1.170,1.170,1.215,2.003,13.834,2.002,13.835,1.931,1
167,0.640,1.239,0.045,1.169,1.169,1.332,12.730,14.025,12.732,14.024,3.004,1
168,0.690,1.266,0.069,1.194,1.169,1.435,30.415,13.970,30.409,13.975,3.521,1
169,0.340,1.189,0.014,1.216,1.169,1.219,33.474,14.124,33.474,14.123,2.697,1
170,0.320,1.229,0.035,1.173,1.173,1.292,40.812,14.028,40.812,14.029,1.990,1
171,1.200,1.394,0.186,1.170,1.169,1.893,45.988,14.506,45.989,14.522,4.321,1
172,1.010,1.360,0.121,1.300,1.171,1.634,28.573,14.354,28.576,14.353,3.887,1
173,0.190,1.189,0.013,1.193,1.170,1.211,35.276,14.097,35.277,14.098,1.614,1
174,0.860,1.303,0.116,1.172,1.171,1.610,38.936,14.455,38.926,14.466,4.170,1
175,0.360,1.230,0.035,1.171,1.171,1.288,17.819,14.219,17.819,14.219,2.097,1
176,0.490,1.278,0.087,1.206,1.169,1.461,22.960,14.399,22.957,14.403,2.638,1
177,0.820,1.254,0.065,1.180,1.169,1.415,43.722,14.717,43.716,14.718,3.804,1
178,0.280,1.190,0.014,1.185,1.172,1.222,10.782,14.707,10.783,14.706,1.873,1
179,0.580,1.273,0.076,1.182,1.171,1.442,21.159,14.981,21.158,14.985,2.721,1
180,0.580,1.302,0.104,1.203,1.170,1.527,49.338,14.890,49.338,14.891,2.697,1
181,0.310,1.229,0.042,1.210,1.170,1.309,8.856,15.134,8.857,15.134,1.956,1
182,0.480,1.260,0.073,1.174,1.174,1.428,16.131,15.342,16.131,15.350,2.614,1
183,0.460,1.289,0.087,1.199,1.174,1.469,31.589,15.259,31.590,15.262,2.356,1
184,1.500,1.381,0.152,1.209,1.171,1.831,35.485,15.669,35.471,15.680,5.370,1
185,0.250,1.223,0.030,1.211,1.177,1.275,19.342,15.306,19.342,15.306,1.731,1
186,0.240,1.206,0.019,1.179,1.179,1.238,14.121,15.408,14.121,15.409,1.731,1
187,0.220,1.181,0.006,1.173,1.171,1.193,47.555,15.400,47.555,15.400,1.731,1
188,0.250,1.240,0.045,1.207,1.173,1.326,3.494,15.446,3.495,15.447,1.731,1
189,0.210,1.204,0.021,1.199,1.173,1.240,42.345,15.431,42.346,15.431,1.590,1
190,0.450,1.199,0.016,1.192,1.172,1.233,1.614,15.888,1.614,15.887,2.580,1
191,0.870,1.424,0.204,1.247,1.176,1.919,6.918,16.057,6.914,16.057,3.404,1
192,0.690,1.269,0.059,1.193,1.169,1.382,12.188,15.966,12.185,15.966,2.980,1
193,0.340,1.223,0.032,1.206,1.175,1.283,17.353,16.029,17.351,16.030,2.156,1
194,0.250,1.217,0.033,1.175,1.175,1.277,29.694,15.934,29.693,15.934,1.873,1
195,0.150,1.190,0.011,1.177,1.173,1.209,50.857,16.017,50.857,16.016,1.449,1
196,0.280,1.298,0.086,1.242,1.177,1.461,37.232,16.111,37.232,16.113,1.873,1
197,0.400,1.252,0.054,1.173,1.173,1.343,27.733,16.300,27.731,16.300,2.297,1
198,0.540,1.237,0.055,1.172,1.169,1.359,33.220,16.365,33.223,16.363,2.780,1
199,0.800,1.264,0.099,1.172,1.170,1.568,3.217,16.774,3.218,16.756,4.487,1
200,0.280,1.223,0.036,1.202,1.171,1.285,22.611,16.268,22.611,16.268,1.873,1
201,0.260,1.205,0.027,1.216,1.170,1.252,38.535,16.342,38.535,16.342,1.814,1
202,0.930,1.321,0.102,1.278,1.170,1.556,26.122,16.883,26.126,16.877,4.253,1
203,0.400,1.207,0.025,1.181,1.170,1.264,5.253,16.740,5.253,16.742,2.331,1
204,0.620,1.243,0.059,1.181,1.169,1.393,10.431,16.805,10.435,16.801,3.321,1
205,0.540,1.335,0.132,1.175,1.174,1.620,20.591,16.820,20.593,16.823,2.638,1
206,1.180,1.503,0.346,1.188,1.170,2.422,39.729,17.144,39.727,17.110,4.521,1
207,0.360,1.225,0.039,1.191,1.169,1.298,15.581,16.819,15.580,16.819,2.097,1
208,0.380,1.216,0.028,1.172,1.172,1.268,31.200,17.008,31.199,17.007,2.214,1
